country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44
United States,Ohio,39,2013,all,all,138936.0,2213491.0,62.76781789489996
United States,Oklahoma,40,2013,all,all,53369.0,754604.0,70.7245124595152
United States,Oregon,41,2013,all,all,45155.0,768504.0,58.75701362647429
United States,Pennsylvania,42,2013,all,all,140921.0,2416613.0,58.31343289140628
United States,Rhode Island,44,2013,all,all,10809.0,210313.0,51.3948258072492
United States,South Carolina,45,2013,all,all,56795.0,929134.0,61.12681270946925
United States,South Dakota,46,2013,all,all,12248.0,155679.0,78.67470885604352
United States,Tennessee,47,2013,all,all,79992.0,1285302.0,62.235956996877
United States,Texas,48,2013,all,all,387340.0,5551574.0,69.77120362621483
United States,Utah,49,2013,all,all,50957.0,628684.0,81.05343861144867
United States,Vermont,50,2013,all,all,5975.0,116143.0,51.4452011744143
United States,Virginia,51,2013,all,all,102147.0,1652243.0,61.82323060227824
United States,Washington,53,2013,all,all,86577.0,1380000.0,62.73695652173913
United States,West Virginia,54,2013,all,all,20825.0,337937.0,61.62391214930594
United States,Wisconsin,55,2013,all,all,66649.0,1087112.0,61.3083104592719
United States,Wyoming,56,2013,all,all,7644.0,109661.0,69.70572947538322
United States,Alabama,01,2014,all,all,59422.0,957755.0,62.04300682324811
United States,Alaska,02,2014,all,all,11392.0,144107.0,79.05237080780253
United States,Arizona,04,2014,all,all,86887.0,1309452.0,66.35371132351548
United States,Arkansas,05,2014,all,all,38511.0,575786.0,66.88422434724012
United States,California,06,2014,all,all,502879.0,8005164.0,62.8193251256314
United States,Colorado,08,2014,all,all,65830.0,1078253.0,61.05246171353106
United States,Connecticut,09,2014,all,all,36285.0,680830.0,53.29524257156706
United States,Delaware,10,2014,all,all,10972.0,179035.0,61.2841064596308
United States,District of Columbia,11,2014,all,all,9509.0,176811.0,53.78059057411586
United States,Florida,12,2014,all,all,219991.0,3674296.0,59.8729661409968
United States,Georgia,13,2014,all,all,130946.0,2091522.0,62.60799551714015
United States,Hawaii,15,2014,all,all,18550.0,259973.0,71.35356363930102
United States,Idaho,16,2014,all,all,22876.0,313669.0,72.93038202691372
United States,Illinois,17,2014,all,all,158556.0,2588205.0,61.260989759311954
United States,Indiana,18,2014,all,all,84080.0,1293763.0,64.98871895393515
United States,Iowa,19,2014,all,all,39687.0,587004.0,67.60942003802359
United States,Kansas,20,2014,all,all,39223.0,556910.0,70.42969240990466
United States,Kentucky,21,2014,all,all,56170.0,850503.0,66.04327086441789
United States,Louisiana,22,2014,all,all,64497.0,936239.0,68.88946091756486
United States,Maine,23,2014,all,all,12698.0,233951.0,54.27632281973575
United States,Maryland,24,2014,all,all,73921.0,1189785.0,62.12971251108394
United States,Massachusetts,25,2014,all,all,71908.0,1372590.0,52.388550113289476
United States,Michigan,26,2014,all,all,114375.0,1892402.0,60.439061045169055
