country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44,housing_cost_burden,rent_burden_share,median_gross_rent,housing_estimate_type,housing_source_url
United States,Wyoming,56,2019,all,all,6565.0,107437.0,61.10557815277791,0.39537118969883744,0.39537118969883744,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Alabama,01,2021,all,all,58054.0,974829.0,59.553008784104705,0.4341134310335178,0.4341134310335178,,,
United States,Alaska,02,2021,all,all,9367.0,141381.0,66.25359843260411,0.44992569261140564,0.44992569261140564,,,
United States,Arizona,04,2021,all,all,77916.0,1401970.0,55.576082227151794,0.4785835600246921,0.4785835600246921,,,
United States,Arkansas,05,2021,all,all,35965.0,582455.0,61.747259444935665,0.39943220944252594,0.39943220944252594,,,
United States,California,06,2021,all,all,420608.0,7950771.0,52.90153621579593,0.5271607835977482,0.5271607835977482,,,
United States,Colorado,08,2021,all,all,62949.0,1193792.0,52.730291374041705,0.5045154660417392,0.5045154660417392,,,
United States,Connecticut,09,2021,all,all,35670.0,684477.0,52.11278099921546,0.4914565318154267,0.4914565318154267,,,
United States,Delaware,10,2021,all,all,10482.0,185093.0,56.63099090727364,0.4702934266893915,0.4702934266893915,,,
United States,Florida,12,2021,all,all,216260.0,3925096.0,55.09674158288103,0.5489939133548156,0.5489939133548156,,,
United States,Georgia,13,2021,all,all,124073.0,2211968.0,56.09167944563393,0.47584333284522323,0.47584333284522323,,,
United States,Hawaii,15,2021,all,all,15620.0,257043.0,60.76804270102667,0.5342452310728518,0.5342452310728518,,,
United States,Idaho,16,2021,all,all,22427.0,368813.0,60.80859405715092,0.4316701707604738,0.4316701707604738,,,
United States,Illinois,17,2021,all,all,132189.0,2487384.0,53.14378479559248,0.4437580313722442,0.4437580313722442,,,
United States,Indiana,18,2021,all,all,79946.0,1328051.0,60.197989384443815,0.43261297420774475,0.43261297420774475,,,
United States,Iowa,19,2021,all,all,36835.0,606309.0,60.75285044424543,0.4120337424320389,0.4120337424320389,,,
United States,Kansas,20,2021,all,all,34705.0,565732.0,61.3453013087469,0.3972941724258801,0.3972941724258801,,,
