country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,06,California,2010,24,20_24,married,all,40929.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,24,20_24,unmarried,all,225102.8,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,25,25_29,married,all,106301.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,25,25_29,unmarried,all,159716.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,26,25_29,married,all,106301.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,26,25_29,unmarried,all,159716.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,27,25_29,married,all,106301.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,27,25_29,unmarried,all,159716.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,28,25_29,married,all,106301.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,28,25_29,unmarried,all,159716.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,29,25_29,married,all,106301.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,29,25_29,unmarried,all,159716.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,30,30_34,married,all,149431.4,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,30,30_34,unmarried,all,105930.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,31,30_34,married,all,149431.4,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,31,30_34,unmarried,all,105930.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,32,30_34,married,all,149431.4,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,32,30_34,unmarried,all,105930.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,33,30_34,married,all,149431.4,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,33,30_34,unmarried,all,105930.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,34,30_34,married,all,149431.4,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,34,30_34,unmarried,all,105930.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,35,35_39,married,all,174060.8,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,35,35_39,unmarried,all,85452.2,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,36,35_39,married,all,174060.8,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,36,35_39,unmarried,all,85452.2,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,37,35_39,married,all,174060.8,Census ACS1 B12002,uniform_within_band
