entity,code,year,indicator,value
Japan,JPN,1993,SP.POP.1564.MA.IN,44120917.0
Japan,JPN,1993,SP.POP.65UP.FE.IN,10097058.0
Japan,JPN,1993,SP.POP.65UP.MA.IN,6936043.0
Japan,JPN,1994,SP.POP.0014.FE.IN,9756868.0
Japan,JPN,1994,SP.POP.0014.MA.IN,10257501.0
Japan,JPN,1994,SP.POP.1564.FE.IN,43249197.0
Japan,JPN,1994,SP.POP.1564.MA.IN,44205289.0
Japan,JPN,1994,SP.POP.65UP.FE.IN,10469873.0
Japan,JPN,1994,SP.POP.65UP.MA.IN,7239272.0
Japan,JPN,1995,SP.POP.0014.FE.IN,9567528.0
Japan,JPN,1995,SP.POP.0014.MA.IN,10052888.0
Japan,JPN,1995,SP.POP.1564.FE.IN,43232172.0
Japan,JPN,1995,SP.POP.1564.MA.IN,44225102.0
Japan,JPN,1995,SP.POP.65UP.FE.IN,10844910.0
Japan,JPN,1995,SP.POP.65UP.MA.IN,7549400.0
Japan,JPN,1996,SP.POP.0014.FE.IN,9402884.0
Japan,JPN,1996,SP.POP.0014.MA.IN,9876872.0
Japan,JPN,1996,SP.POP.1564.FE.IN,43170424.0
Japan,JPN,1996,SP.POP.1564.MA.IN,44189915.0
Japan,JPN,1996,SP.POP.65UP.FE.IN,11235509.0
Japan,JPN,1996,SP.POP.65UP.MA.IN,7881396.0
Japan,JPN,1997,SP.POP.0014.FE.IN,9260008.0
Japan,JPN,1997,SP.POP.0014.MA.IN,9728505.0
Japan,JPN,1997,SP.POP.1564.FE.IN,43081763.0
Japan,JPN,1997,SP.POP.1564.MA.IN,44114091.0
Japan,JPN,1997,SP.POP.65UP.FE.IN,11640081.0
Japan,JPN,1997,SP.POP.65UP.MA.IN,8232552.0
Japan,JPN,1998,SP.POP.0014.FE.IN,9130467.0
Japan,JPN,1998,SP.POP.0014.MA.IN,9595206.0
Japan,JPN,1998,SP.POP.1564.FE.IN,43004309.0
Japan,JPN,1998,SP.POP.1564.MA.IN,44041890.0
Japan,JPN,1998,SP.POP.65UP.FE.IN,12045202.0
